 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
128.141.174.10 - - [26/Apr/2019 11:47:35] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:35] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:35] "GET /? HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:47:36] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:47:37] "POST /update HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:41] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:42] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:42] "GET /? HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:47:45] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:47:46] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:48:01] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:48:01] "POST /update HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:48:12] "GET /? HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:48:12] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:48:13] "POST /update HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:48:13] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:48:13] "GET /static/style.css HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:48:13] "GET /static/script.js HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:48:13] "GET /favicon.ico HTTP/1.1" 404 -
188.185.208.98 - - [26/Apr/2019 11:48:23] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:48:23] "POST /update HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:48:27] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:48:27] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:48:31] "GET /? HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:48:31] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:48:32] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:48:43] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:48:43] "POST /update HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:48:49] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:48:50] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:48:51] "GET /? HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:48:52] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:48:52] "POST /update HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:48:54] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:48:55] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:48:55] "GET /? HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:48:59] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:49:00] "POST /update HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:49:02] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:49:03] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:49:04] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:49:09] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:49:10] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:49:10] "GET /? HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:49:11] "POST /update HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:49:11] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:49:11] "GET /? HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:49:11] "POST /update HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:49:12] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:49:12] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:49:15] "GET /tick HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:49:17] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:49:20] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:49:21] "GET /? HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:49:23] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:49:23] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:49:29] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:49:30] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:49:41] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:49:42] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:49:49] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:49:50] "POST /update HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:49:51] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:49:52] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:49:52] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:49:54] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:49:54] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:49:54] "GET /? HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:49:59] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:50:00] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:50:04] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:50:04] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:50:12] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:50:12] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:50:19] "POST /update HTTP/1.1" 200 -
